"MMM.Close","AXP.Close","AMGN.Close","AAPL.Close","BA.Close","CAT.Close","CVX.Close","CSCO.Close","KO.Close","DOW.Close","GS.Close","HD.Close","HON.Close","IBM.Close","INTC.Close","JNJ.Close","JPM.Close","MCD.Close","MRK.Close","MSFT.Close","NKE.Close","PG.Close","CRM.Close","TRV.Close","UNH.Close","VZ.Close","V.Close","WBA.Close","WMT.Close","DIS.Close"
158.880005,135.600006,221.690002,79.75,338.880005,136.580002,110.239998,46.59,59.529999,47.740002,233.210007,243.940002,179.419998,151.100006,66.139999,149.139999,135.639999,216.149994,82.459999,187.229996,102,124.870003,191.089996,135.880005,302.140015,57.91,211.199997,51.860001,119.629997,139.139999
159.339996,136.929993,222.960007,80.904999,338.299988,136.860001,110.739998,46.290001,59.77,47.560001,237.330002,243.639999,180.860001,150.860001,67.110001,148.940002,137.490005,215.630005,82,187.279999,102.459999,125.440002,192.869995,134.509995,305.309998,58.220001,213.309998,52.07,117.68,141.300003
158.559998,136.580002,222.139999,80.074997,336.279999,136.929993,109.809998,46.849998,59.720001,48.759998,232.729996,247.020004,180.699997,151.220001,65.449997,148.369995,137.490005,215.080002,82.489998,184.419998,102.529999,126.580002,193.360001,133.979996,302.130005,58.09,211.449997,51.869999,117.690002,140.369995
156.929993,134.899994,222.789993,78.262497,330.380005,137.210007,109.010002,46.299999,60.130001,48.299999,230.619995,245.339996,179.880005,149.839996,64.339996,149.929993,135.809998,215.869995,82.339996,178.589996,100.25,126.699997,189.5,135.160004,301.429993,58.200001,208.809998,51.450001,118.580002,138.970001
152.550003,128.190002,217.880005,74.544998,317.899994,132.169998,104.709999,44,58.650002,46.240002,224.539993,239.699997,175.270004,146.429993,61.759998,145.910004,132.160004,213.520004,81.330002,170.889999,95.910004,123.300003,185.940002,134.119995,277.790009,57.990002,198.789993,49.029999,116.32,133.009995
146.850006,120.900002,210.380005,72.019997,304.140015,129,100.709999,42.740002,57.82,43.950001,217.610001,237.380005,167.800003,141.710007,59.73,144.649994,126.260002,212.100006,80.269997,168.070007,92.900002,121.43,181.270004,130.789993,263.390015,57.119999,188.399994,47.509998,114.389999,128.190002
148.960007,118.5,214.539993,73.162498,305.589996,128.25,98.040001,42.16,57.599998,43.049999,215.779999,235.279999,167.179993,139.75,59.650002,143.679993,126.639999,210.100006,79.940002,170.169998,92,120.160004,178.869995,128.559998,263,57.139999,187.210007,47.669998,113.779999,123.360001
150.160004,112.809998,203.5,68.379997,287.76001,123.269997,94.129997,40.040001,54.93,39.549999,205.690002,224.729996,159.550003,133.110001,55.830002,139.119995,121.370003,201,78.080002,158.179993,88.550003,113.5,172.149994,124.080002,253.919998,55.060001,180.009995,46.240002,110.400002,118.040001
149.240005,109.93,199.729996,68.339996,275.109985,124.239998,93.339996,39.93,53.490002,40.41,200.770004,217.839996,162.169998,130.149994,55.52,134.479996,116.110001,194.169998,76.559998,162.009995,89.379997,113.230003,170.399994,119.809998,254.960007,54.16,181.759995,45.759998,107.68,117.650002
153.020004,113.870003,212.199997,74.702499,289.269989,127.599998,96.589996,41.169998,55.919998,41.419998,209.470001,229.940002,164.240005,134.300003,58.18,140.020004,121.519997,202.550003,81.370003,172.789993,92.68,119.559998,176.759995,127.68,273.109985,57.32,192.330002,48.110001,115.879997,119.980003
